#词语 词类标记 词类名称 出现次数 频率 累积频率
看见 v 动词 2573 0.0269 50.1389
时期 nt 时间名词 2569 0.0269 50.1658
动物 n 名词 2569 0.0269 50.1927
正在 d 副词 2566 0.0269 50.2196
书 n 名词 2561 0.0268 50.2464
往往 d 副词 2543 0.0266 50.273
因而 c 连词 2542 0.0266 50.2996
大量 a 形容词 2541 0.0266 50.3262
这么 r 代词 2539 0.0266 50.3528
植物 n 名词 2535 0.0265 50.3793
老 h 前接成分 2527 0.0264 50.4057
并且 c 连词 2524 0.0264 50.4321
细胞 n 名词 2524 0.0264 50.4585
敌人 n 名词 2515 0.0263 50.4848
非常 d 副词 2507 0.0262 50.511
获得 v 动词 2501 0.0262 50.5372
几个 mq 数量 2488 0.026 50.5632
住 v 动词 2487 0.026 50.5892
块 q 量词 2486 0.026 50.6152
目前 nt 时间名词 2483 0.026 50.6412
观察 v 动词 2482 0.026 50.6672
完全 d 副词 2473 0.0259 50.6931
中心 n 名词 2459 0.0257 50.7188
继续 v 动词 2458 0.0257 50.7445
利益 n 名词 2449 0.0256 50.7701
心里 nl 处所名词 2444 0.0256 50.7957
取得 v 动词 2439 0.0255 50.8212
对象 n 名词 2436 0.0255 50.8467
组成 v 动词 2422 0.0253 50.872
有人 r 代词 2415 0.0253 50.8973
了解 v 动词 2413 0.0253 50.9226
啊 e 叹词 2402 0.0251 50.9477
自然 a 形容词 2400 0.0251 50.9728
而是 vl 联系动词 2400 0.0251 50.9979
容易 a 形容词 2397 0.0251 51.023
拿 v 动词 2395 0.0251 51.0481
经营 v 动词 2391 0.025 51.0731
时代 nt 时间名词 2391 0.025 51.0981
阶级 n 名词 2389 0.025 51.1231
处 n 名词 2387 0.025 51.1481
元 q 量词 2384 0.0249 51.173
某 r 代词 2371 0.0248 51.1978
加强 v 动词 2368 0.0248 51.2226
严重 a 形容词 2367 0.0248 51.2474
控制 v 动词 2366 0.0248 51.2722
死 v 动词 2364 0.0247 51.2969
过去 nt 时间名词 2361 0.0247 51.3216
量 n 名词 2360 0.0247 51.3463
本 r 代词 2351 0.0246 51.3709
变成 v 动词 2348 0.0246 51.3955
学 v 动词 2340 0.0245 51.42
告诉 v 动词 2336 0.0244 51.4444
第三 m 数词 2328 0.0244 51.4688
处理 v 动词 2322 0.0243 51.4931
全部 n 名词 2314 0.0242 51.5173
自由 a 形容词 2313 0.0242 51.5415
所谓 a 形容词 2311 0.0242 51.5899
温度 n 名词 2311 0.0242 51.5657
状态 n 名词 2303 0.0241 51.614
服务 v 动词 2298 0.024 51.638
土地 n 名词 2292 0.024 51.662
世纪 nt 时间名词 2290 0.024 51.686
城市 n 名词 2282 0.0239 51.7099
哪 r 代词 2279 0.0238 51.7337
词 n 名词 2275 0.0238 51.7575
思维 n 名词 2275 0.0238 51.7813
爱 v 动词 2265 0.0237 51.805
区 n 名词 2261 0.0237 51.8287
进入 v 动词 2259 0.0236 51.8523
这时 r 代词 2258 0.0236 51.8759
有时 d 副词 2256 0.0236 51.8995
七 m 数词 2256 0.0236 51.9231
强 a 形容词 2255 0.0236 51.9703
望 v 动词 2255 0.0236 51.9467
事实 n 名词 2254 0.0236 51.9939
材料 n 名词 2251 0.0236 52.0175
些 q 量词 2248 0.0235 52.041
项 q 量词 2239 0.0234 52.1112
从而 c 连词 2239 0.0234 52.0878
不要 vu 能愿动词 2239 0.0234 52.0644
采取 v 动词 2236 0.0234 52.1346
事情 n 名词 2235 0.0234 52.158
总是 d 副词 2234 0.0234 52.1814
充分 a 形容词 2233 0.0234 52.2048
当 v 动词 2232 0.0234 52.2282
特征 n 名词 2230 0.0233 52.2515
那里 r 代词 2229 0.0233 52.2748
如何 r 代词 2229 0.0233 52.2981
反应 n 名词 2227 0.0233 52.3214
仍 d 副词 2224 0.0233 52.3447
得 vu 能愿动词 2221 0.0232 52.3679
最后 n 名词 2217 0.0232 52.3911
培养 v 动词 2216 0.0232 52.4143
来说 v 动词 2215 0.0232 52.4375
或者 c 连词 2214 0.0232 52.4607
回来 vd 趋向动词 2211 0.0231 52.4838
张 q 量词 2207 0.0231 52.5069
不到 v 动词 2204 0.0231 52.53
国际 n 名词 2203 0.0231 52.5531
积极 a 形容词 2195 0.023 52.5761
某些 r 代词 2194 0.023 52.5991
战争 n 名词 2183 0.0228 52.6219
总 d 副词 2181 0.0228 52.6447
往 p 介词 2178 0.0228 52.6675
家庭 n 名词 2174 0.0227 52.6902
提供 v 动词 2172 0.0227 52.7129
难 a 形容词 2171 0.0227 52.7356
有关 v 动词 2170 0.0227 52.7583
准备 v 动词 2167 0.0227 52.781
事业 n 名词 2165 0.0227 52.8037
党 n 名词 2164 0.0226 52.8263
儿童 n 名词 2158 0.0226 52.8489
创作 v 动词 2157 0.0226 52.8715
农村 n 名词 2156 0.0226 52.8941
实际 a 形容词 2152 0.0225 52.9166
保证 v 动词 2151 0.0225 52.9391
进一步 v 动词 2149 0.0225 52.9616
集中 v 动词 2147 0.0225 52.9841
买 v 动词 2145 0.0224 53.0065
谈 v 动词 2143 0.0224 53.0289
活动 n 名词 2141 0.0224 53.0513
空气 n 名词 2126 0.0222 53.0735
动作 n 名词 2125 0.0222 53.0957
万 m 数词 2119 0.0222 53.1179
